athlete_id,name,sex,born,height,weight,country,country_noc,description,special_notes
136346,Pedro Pascual,Male,1996-03-15,185.0,70, United States,USA,na,Listed in Olympians Who Won a Medal at the Summer Pan American Games (0–1–0 2019 Lima SAI silver: RS:X)
131521,Ana Dascăl,Female,2002-09-12,183.0,60, Romania,ROU,na,na
144327,Stephanie Mawuli,Female,1998-11-25,na,na, Japan,JPN,na,Sister of Evelyn Mawuli
138162,Oskar Svensson,Male,1995-09-07,190.0,86, Sweden,SWE,na,na
141773,Yu Liyan,Female,2000-06-01,na,na, People's Republic of China,CHN,na,na
143519,Dimitrios Markos,Male,2001-09-13,186.0,75, Greece,GRE,na,na
141319,Erika Zafirova,Female,1999-05-07,na,na, Bulgaria,BUL,na,na
144497,Yumi Arima,Female,1997-09-09,na,na, Japan,JPN,na,na
142484,Alberto Abalde,Male,1995-12-15,na,na, Spain,ESP,na,Brother of Tamara Abalde
133124,Francisco Ducasse,Male,1996-12-03,175.0,68, Chile,CHI,na,Brother of Andrés Ducasse
136794,Rafael Souza,Male,1996-07-22,180.0,84, Brazil,BRA,na,na
146333,Andrei Ciobanu,Male,1998-01-18,na,na, Romania,ROU,na,na
148806,Anastasiya Mishina,Female,2001-04-24,na,na, ROC,ROC,na,na
1800056,Hwang Sol-Gyong,Female,1997-01-09,160.0,59, Korea Team,COR,na,na
146492,Gareth May,Male,1996-09-11,na,na, South Africa,RSA,na,na
145717,Casper Stornes,Male,1997-02-06,na,na, Norway,NOR,na,na
137840,Liana Ganeyeva,Female,1997-12-20,165.0,63, ROC,ROC,na,Listed in Olympians Who Won a Medal at the Winter Universiade (2–0–0 2017 Almaty ICH gold; 2019 Krasnoyarsk ICH gold)
134407,Sudirman Hadi,Male,1996-03-09,171.0,76, Indonesia,INA,na,na
141399,Jessica Guo,Female,2005-06-23,na,na, Canada,CAN,na,na
140751,Matthew Richardson,Male,1999-04-17,na,na, Australia,AUS,na,na
148129,Ning Zhongyan,Male,1999-11-03,na,na, People's Republic of China,CHN,na,na
131128,Naomi Sedney,Female,1994-12-17,170.0,65, Netherlands,NED,na,Sister of Zoë Sedney Listed in Olympians Who Won a Medal at the European Athletics Championships (1–1–0 2016 Amsterdam gold: 4×100 m relay; 2018 Berlin silver: 4×100 m relay)
140563,Bendere Oboya,Female,2000-04-17,na,na, Australia,AUS,na,na
145059,Olt Kondirolli,Male,2003-01-14,na,na, Kosovo,KOS,na,na
137179,Lou Barin,Female,1999-01-26,162.0,48, France,FRA,na,Listed in Olympians Who Won a Medal at the Winter Youth Olympic Games (0–1–0 2016 Lillehammer FRS silver: slopestyle) Listed in Olympians Who Won a Medal at the Winter Universiade (0–0–1 2019 Krasnoyarsk FRS bronze: slopestyle)
138113,Šimon Bartko,Male,1996-07-11,180.0,70, Slovakia,SVK,na,na
144423,Anna Yamazaki,Female,1999-12-19,na,na, Japan,JPN,na,na
136759,Kim Meylemans,Female,1996-03-07,164.0,62, Belgium  Germany,BEL,na,Listed in Olympians Who Contracted the Coronavirus (COVID-19) ()
141168,Rayssa Leal,Female,2008-01-04,147.0,35, Brazil,BRA,na,na
128354,Adelina Sotnikova,Female,1996-07-01,na,na, Russian Federation,RUS,na,Listed in Olympians Who Won a Medal at the Winter Youth Olympic Games (0–1–0 2012 Innsbruck FSK silver: singles) Listed in Olympians Who Won a Medal at the European Figure Skating Championships (0–2–0 2013 Zagreb silver: singles; 2014 Budapest silver: singles)
141837,Zhang Dong,Male,1996-11-18,na,na, People's Republic of China,CHN,na,na
2101916,Louise Shanahan,Female,1997-01-26,na,na, Ireland,IRL,na,na
132718,Dzmitry Asanau,Male,1996-05-18,176.0,56, Belarus,BLR,na,Listed in Olympians Who Won a Medal at the European Games (1–1–0 2015 Bakı BOX silver: bantamweight -56 kg; 2019 Minsk BOX gold: lightweight -60 kg)
141716,Ruan Hongting,Female,1995-10-06,na,na, People's Republic of China,CHN,na,na
144525,Ryuji Miura,Male,2002-02-11,na,na, Japan,JPN,na,na
138420,Janine Alder,Female,1995-07-05,165.0,55, Switzerland,SUI,na,na
143715,Rio Waida,Male,2000-01-25,na,na, Indonesia,INA,na,na
